state,year,month,day,date,wday,births
OH,1969,1,4,1969-01-04,Sat,418
OK,1969,1,4,1969-01-04,Sat,82
OR,1969,1,4,1969-01-04,Sat,94
PA,1969,1,4,1969-01-04,Sat,480
RI,1969,1,4,1969-01-04,Sat,42
SC,1969,1,4,1969-01-04,Sat,128
SD,1969,1,4,1969-01-04,Sat,32
TN,1969,1,4,1969-01-04,Sat,174
TX,1969,1,4,1969-01-04,Sat,504
UT,1969,1,4,1969-01-04,Sat,54
VA,1969,1,4,1969-01-04,Sat,206
VT,1969,1,4,1969-01-04,Sat,16
WA,1969,1,4,1969-01-04,Sat,152
WI,1969,1,4,1969-01-04,Sat,152
WV,1969,1,4,1969-01-04,Sat,78
WY,1969,1,4,1969-01-04,Sat,12
AK,1969,1,5,1969-01-05,Sun,18
AL,1969,1,5,1969-01-05,Sun,144
AR,1969,1,5,1969-01-05,Sun,72
AZ,1969,1,5,1969-01-05,Sun,82
CA,1969,1,5,1969-01-05,Sun,804
CO,1969,1,5,1969-01-05,Sun,114
CT,1969,1,5,1969-01-05,Sun,108
DC,1969,1,5,1969-01-05,Sun,44
DE,1969,1,5,1969-01-05,Sun,34
FL,1969,1,5,1969-01-05,Sun,236
GA,1969,1,5,1969-01-05,Sun,196
HI,1969,1,5,1969-01-05,Sun,40
IA,1969,1,5,1969-01-05,Sun,110
ID,1969,1,5,1969-01-05,Sun,34
IL,1969,1,5,1969-01-05,Sun,464
IN,1969,1,5,1969-01-05,Sun,242
KS,1969,1,5,1969-01-05,Sun,116
KY,1969,1,5,1969-01-05,Sun,128
LA,1969,1,5,1969-01-05,Sun,184
MA,1969,1,5,1969-01-05,Sun,188
MD,1969,1,5,1969-01-05,Sun,146
ME,1969,1,5,1969-01-05,Sun,44
MI,1969,1,5,1969-01-05,Sun,462
MN,1969,1,5,1969-01-05,Sun,158
MO,1969,1,5,1969-01-05,Sun,192
MS,1969,1,5,1969-01-05,Sun,122
MT,1969,1,5,1969-01-05,Sun,18
NC,1969,1,5,1969-01-05,Sun,254
ND,1969,1,5,1969-01-05,Sun,18
NE,1969,1,5,1969-01-05,Sun,68
NH,1969,1,5,1969-01-05,Sun,26
NJ,1969,1,5,1969-01-05,Sun,274
NM,1969,1,5,1969-01-05,Sun,42
NV,1969,1,5,1969-01-05,Sun,14
NY,1969,1,5,1969-01-05,Sun,682
OH,1969,1,5,1969-01-05,Sun,456
OK,1969,1,5,1969-01-05,Sun,94
OR,1969,1,5,1969-01-05,Sun,108
PA,1969,1,5,1969-01-05,Sun,400
RI,1969,1,5,1969-01-05,Sun,44
SC,1969,1,5,1969-01-05,Sun,136
SD,1969,1,5,1969-01-05,Sun,26
TN,1969,1,5,1969-01-05,Sun,168
TX,1969,1,5,1969-01-05,Sun,454
UT,1969,1,5,1969-01-05,Sun,42
VA,1969,1,5,1969-01-05,Sun,200
VT,1969,1,5,1969-01-05,Sun,14
WA,1969,1,5,1969-01-05,Sun,130
WI,1969,1,5,1969-01-05,Sun,158
WV,1969,1,5,1969-01-05,Sun,78
WY,1969,1,5,1969-01-05,Sun,4
AK,1969,1,6,1969-01-06,Mon,24
AL,1969,1,6,1969-01-06,Mon,192
AR,1969,1,6,1969-01-06,Mon,90
AZ,1969,1,6,1969-01-06,Mon,78
CA,1969,1,6,1969-01-06,Mon,922
CO,1969,1,6,1969-01-06,Mon,82
CT,1969,1,6,1969-01-06,Mon,152
DC,1969,1,6,1969-01-06,Mon,70
DE,1969,1,6,1969-01-06,Mon,30
FL,1969,1,6,1969-01-06,Mon,298
GA,1969,1,6,1969-01-06,Mon,278
HI,1969,1,6,1969-01-06,Mon,28
IA,1969,1,6,1969-01-06,Mon,128
ID,1969,1,6,1969-01-06,Mon,44
IL,1969,1,6,1969-01-06,Mon,544
IN,1969,1,6,1969-01-06,Mon,264
KS,1969,1,6,1969-01-06,Mon,106
KY,1969,1,6,1969-01-06,Mon,152
LA,1969,1,6,1969-01-06,Mon,228
MA,1969,1,6,1969-01-06,Mon,228
MD,1969,1,6,1969-01-06,Mon,186
ME,1969,1,6,1969-01-06,Mon,30
MI,1969,1,6,1969-01-06,Mon,430
MN,1969,1,6,1969-01-06,Mon,168
MO,1969,1,6,1969-01-06,Mon,226
MS,1969,1,6,1969-01-06,Mon,134
MT,1969,1,6,1969-01-06,Mon,26
NC,1969,1,6,1969-01-06,Mon,258
ND,1969,1,6,1969-01-06,Mon,22
NE,1969,1,6,1969-01-06,Mon,60
NH,1969,1,6,1969-01-06,Mon,32
NJ,1969,1,6,1969-01-06,Mon,266
NM,1969,1,6,1969-01-06,Mon,70
NV,1969,1,6,1969-01-06,Mon,24
NY,1969,1,6,1969-01-06,Mon,774
OH,1969,1,6,1969-01-06,Mon,484
OK,1969,1,6,1969-01-06,Mon,98
OR,1969,1,6,1969-01-06,Mon,86
PA,1969,1,6,1969-01-06,Mon,476
RI,1969,1,6,1969-01-06,Mon,42
SC,1969,1,6,1969-01-06,Mon,152
SD,1969,1,6,1969-01-06,Mon,28
TN,1969,1,6,1969-01-06,Mon,214
TX,1969,1,6,1969-01-06,Mon,584
UT,1969,1,6,1969-01-06,Mon,62
VA,1969,1,6,1969-01-06,Mon,202
VT,1969,1,6,1969-01-06,Mon,20
WA,1969,1,6,1969-01-06,Mon,146
WI,1969,1,6,1969-01-06,Mon,200
WV,1969,1,6,1969-01-06,Mon,106
WY,1969,1,6,1969-01-06,Mon,16
AK,1969,1,7,1969-01-07,Tues,16
AL,1969,1,7,1969-01-07,Tues,174
AR,1969,1,7,1969-01-07,Tues,108
AZ,1969,1,7,1969-01-07,Tues,84
CA,1969,1,7,1969-01-07,Tues,866
CO,1969,1,7,1969-01-07,Tues,122
CT,1969,1,7,1969-01-07,Tues,124
DC,1969,1,7,1969-01-07,Tues,104
DE,1969,1,7,1969-01-07,Tues,36
FL,1969,1,7,1969-01-07,Tues,334
GA,1969,1,7,1969-01-07,Tues,254
HI,1969,1,7,1969-01-07,Tues,38
IA,1969,1,7,1969-01-07,Tues,136
ID,1969,1,7,1969-01-07,Tues,34
IL,1969,1,7,1969-01-07,Tues,524
IN,1969,1,7,1969-01-07,Tues,286
KS,1969,1,7,1969-01-07,Tues,98
KY,1969,1,7,1969-01-07,Tues,140
LA,1969,1,7,1969-01-07,Tues,194
MA,1969,1,7,1969-01-07,Tues,254
MD,1969,1,7,1969-01-07,Tues,144
ME,1969,1,7,1969-01-07,Tues,50
MI,1969,1,7,1969-01-07,Tues,440
MN,1969,1,7,1969-01-07,Tues,186
MO,1969,1,7,1969-01-07,Tues,178
MS,1969,1,7,1969-01-07,Tues,160
MT,1969,1,7,1969-01-07,Tues,26
NC,1969,1,7,1969-01-07,Tues,286
ND,1969,1,7,1969-01-07,Tues,36
NE,1969,1,7,1969-01-07,Tues,98
NH,1969,1,7,1969-01-07,Tues,36
NJ,1969,1,7,1969-01-07,Tues,298
NM,1969,1,7,1969-01-07,Tues,66
NV,1969,1,7,1969-01-07,Tues,28
NY,1969,1,7,1969-01-07,Tues,836
OH,1969,1,7,1969-01-07,Tues,568
OK,1969,1,7,1969-01-07,Tues,98
OR,1969,1,7,1969-01-07,Tues,80
PA,1969,1,7,1969-01-07,Tues,448
RI,1969,1,7,1969-01-07,Tues,38
SC,1969,1,7,1969-01-07,Tues,128
SD,1969,1,7,1969-01-07,Tues,48
TN,1969,1,7,1969-01-07,Tues,208
TX,1969,1,7,1969-01-07,Tues,612
UT,1969,1,7,1969-01-07,Tues,56
VA,1969,1,7,1969-01-07,Tues,182
VT,1969,1,7,1969-01-07,Tues,18
WA,1969,1,7,1969-01-07,Tues,174
WI,1969,1,7,1969-01-07,Tues,188
WV,1969,1,7,1969-01-07,Tues,80
WY,1969,1,7,1969-01-07,Tues,18
AK,1969,1,8,1969-01-08,Wed,8
AL,1969,1,8,1969-01-08,Wed,154
AR,1969,1,8,1969-01-08,Wed,78
AZ,1969,1,8,1969-01-08,Wed,102
CA,1969,1,8,1969-01-08,Wed,954
CO,1969,1,8,1969-01-08,Wed,124
CT,1969,1,8,1969-01-08,Wed,140
DC,1969,1,8,1969-01-08,Wed,62
DE,1969,1,8,1969-01-08,Wed,36
FL,1969,1,8,1969-01-08,Wed,304
GA,1969,1,8,1969-01-08,Wed,240
HI,1969,1,8,1969-01-08,Wed,46
IA,1969,1,8,1969-01-08,Wed,136
ID,1969,1,8,1969-01-08,Wed,32
IL,1969,1,8,1969-01-08,Wed,522
IN,1969,1,8,1969-01-08,Wed,232
KS,1969,1,8,1969-01-08,Wed,102
KY,1969,1,8,1969-01-08,Wed,164
LA,1969,1,8,1969-01-08,Wed,200
MA,1969,1,8,1969-01-08,Wed,306
MD,1969,1,8,1969-01-08,Wed,168
ME,1969,1,8,1969-01-08,Wed,56
MI,1969,1,8,1969-01-08,Wed,478
MN,1969,1,8,1969-01-08,Wed,192
MO,1969,1,8,1969-01-08,Wed,204
MS,1969,1,8,1969-01-08,Wed,126
MT,1969,1,8,1969-01-08,Wed,30
NC,1969,1,8,1969-01-08,Wed,222
ND,1969,1,8,1969-01-08,Wed,30
NE,1969,1,8,1969-01-08,Wed,72
NH,1969,1,8,1969-01-08,Wed,36
NJ,1969,1,8,1969-01-08,Wed,324
NM,1969,1,8,1969-01-08,Wed,66
NV,1969,1,8,1969-01-08,Wed,26
NY,1969,1,8,1969-01-08,Wed,866
OH,1969,1,8,1969-01-08,Wed,524
OK,1969,1,8,1969-01-08,Wed,102
OR,1969,1,8,1969-01-08,Wed,76
PA,1969,1,8,1969-01-08,Wed,482
RI,1969,1,8,1969-01-08,Wed,38
SC,1969,1,8,1969-01-08,Wed,146
SD,1969,1,8,1969-01-08,Wed,30
TN,1969,1,8,1969-01-08,Wed,180
TX,1969,1,8,1969-01-08,Wed,598
UT,1969,1,8,1969-01-08,Wed,64
VA,1969,1,8,1969-01-08,Wed,204
VT,1969,1,8,1969-01-08,Wed,22
WA,1969,1,8,1969-01-08,Wed,132
WI,1969,1,8,1969-01-08,Wed,226
WV,1969,1,8,1969-01-08,Wed,64
WY,1969,1,8,1969-01-08,Wed,8
AK,1969,1,9,1969-01-09,Thurs,16
AL,1969,1,9,1969-01-09,Thurs,170
AR,1969,1,9,1969-01-09,Thurs,106
AZ,1969,1,9,1969-01-09,Thurs,90
CA,1969,1,9,1969-01-09,Thurs,978
CO,1969,1,9,1969-01-09,Thurs,94
CT,1969,1,9,1969-01-09,Thurs,102
DC,1969,1,9,1969-01-09,Thurs,84
DE,1969,1,9,1969-01-09,Thurs,26
FL,1969,1,9,1969-01-09,Thurs,276
GA,1969,1,9,1969-01-09,Thurs,244
HI,1969,1,9,1969-01-09,Thurs,32
IA,1969,1,9,1969-01-09,Thurs,142
ID,1969,1,9,1969-01-09,Thurs,36
IL,1969,1,9,1969-01-09,Thurs,458
IN,1969,1,9,1969-01-09,Thurs,226
KS,1969,1,9,1969-01-09,Thurs,116
KY,1969,1,9,1969-01-09,Thurs,148
LA,1969,1,9,1969-01-09,Thurs,220
MA,1969,1,9,1969-01-09,Thurs,268
MD,1969,1,9,1969-01-09,Thurs,168
ME,1969,1,9,1969-01-09,Thurs,30
MI,1969,1,9,1969-01-09,Thurs,456
MN,1969,1,9,1969-01-09,Thurs,184
MO,1969,1,9,1969-01-09,Thurs,196
MS,1969,1,9,1969-01-09,Thurs,148
MT,1969,1,9,1969-01-09,Thurs,36
NC,1969,1,9,1969-01-09,Thurs,232
ND,1969,1,9,1969-01-09,Thurs,30
NE,1969,1,9,1969-01-09,Thurs,70
NH,1969,1,9,1969-01-09,Thurs,34
NJ,1969,1,9,1969-01-09,Thurs,318
NM,1969,1,9,1969-01-09,Thurs,50
NV,1969,1,9,1969-01-09,Thurs,20
NY,1969,1,9,1969-01-09,Thurs,780
OH,1969,1,9,1969-01-09,Thurs,496
OK,1969,1,9,1969-01-09,Thurs,94
OR,1969,1,9,1969-01-09,Thurs,80
PA,1969,1,9,1969-01-09,Thurs,486
RI,1969,1,9,1969-01-09,Thurs,36
SC,1969,1,9,1969-01-09,Thurs,108
SD,1969,1,9,1969-01-09,Thurs,24
TN,1969,1,9,1969-01-09,Thurs,216
TX,1969,1,9,1969-01-09,Thurs,552
UT,1969,1,9,1969-01-09,Thurs,78
VA,1969,1,9,1969-01-09,Thurs,230
VT,1969,1,9,1969-01-09,Thurs,30
WA,1969,1,9,1969-01-09,Thurs,146
WI,1969,1,9,1969-01-09,Thurs,190
WV,1969,1,9,1969-01-09,Thurs,76
WY,1969,1,9,1969-01-09,Thurs,8
AK,1969,1,10,1969-01-10,Fri,20
AL,1969,1,10,1969-01-10,Fri,184
AR,1969,1,10,1969-01-10,Fri,110
AZ,1969,1,10,1969-01-10,Fri,88
CA,1969,1,10,1969-01-10,Fri,928
CO,1969,1,10,1969-01-10,Fri,92
CT,1969,1,10,1969-01-10,Fri,108
DC,1969,1,10,1969-01-10,Fri,62
DE,1969,1,10,1969-01-10,Fri,30
FL,1969,1,10,1969-01-10,Fri,314
GA,1969,1,10,1969-01-10,Fri,278
HI,1969,1,10,1969-01-10,Fri,48
IA,1969,1,10,1969-01-10,Fri,126
ID,1969,1,10,1969-01-10,Fri,28
IL,1969,1,10,1969-01-10,Fri,582
IN,1969,1,10,1969-01-10,Fri,256
KS,1969,1,10,1969-01-10,Fri,88
KY,1969,1,10,1969-01-10,Fri,176
LA,1969,1,10,1969-01-10,Fri,220
MA,1969,1,10,1969-01-10,Fri,300
MD,1969,1,10,1969-01-10,Fri,210
ME,1969,1,10,1969-01-10,Fri,52
MI,1969,1,10,1969-01-10,Fri,462
MN,1969,1,10,1969-01-10,Fri,196
MO,1969,1,10,1969-01-10,Fri,242
MS,1969,1,10,1969-01-10,Fri,136
MT,1969,1,10,1969-01-10,Fri,44
NC,1969,1,10,1969-01-10,Fri,240
ND,1969,1,10,1969-01-10,Fri,30
NE,1969,1,10,1969-01-10,Fri,64
NH,1969,1,10,1969-01-10,Fri,32
NJ,1969,1,10,1969-01-10,Fri,336
NM,1969,1,10,1969-01-10,Fri,46
NV,1969,1,10,1969-01-10,Fri,20
NY,1969,1,10,1969-01-10,Fri,840
OH,1969,1,10,1969-01-10,Fri,494
OK,1969,1,10,1969-01-10,Fri,122
OR,1969,1,10,1969-01-10,Fri,98
PA,1969,1,10,1969-01-10,Fri,528
RI,1969,1,10,1969-01-10,Fri,32
SC,1969,1,10,1969-01-10,Fri,152
SD,1969,1,10,1969-01-10,Fri,36
TN,1969,1,10,1969-01-10,Fri,180
TX,1969,1,10,1969-01-10,Fri,638
UT,1969,1,10,1969-01-10,Fri,78
VA,1969,1,10,1969-01-10,Fri,220
VT,1969,1,10,1969-01-10,Fri,16
WA,1969,1,10,1969-01-10,Fri,160
WI,1969,1,10,1969-01-10,Fri,214
WV,1969,1,10,1969-01-10,Fri,68
WY,1969,1,10,1969-01-10,Fri,18
AK,1969,1,11,1969-01-11,Sat,14
AL,1969,1,11,1969-01-11,Sat,166
AR,1969,1,11,1969-01-11,Sat,84
AZ,1969,1,11,1969-01-11,Sat,88
CA,1969,1,11,1969-01-11,Sat,908
CO,1969,1,11,1969-01-11,Sat,100
CT,1969,1,11,1969-01-11,Sat,122
DC,1969,1,11,1969-01-11,Sat,60
DE,1969,1,11,1969-01-11,Sat,24
FL,1969,1,11,1969-01-11,Sat,314
GA,1969,1,11,1969-01-11,Sat,234
HI,1969,1,11,1969-01-11,Sat,54
IA,1969,1,11,1969-01-11,Sat,128
ID,1969,1,11,1969-01-11,Sat,34
IL,1969,1,11,1969-01-11,Sat,472
IN,1969,1,11,1969-01-11,Sat,270
KS,1969,1,11,1969-01-11,Sat,86
KY,1969,1,11,1969-01-11,Sat,138
LA,1969,1,11,1969-01-11,Sat,172
MA,1969,1,11,1969-01-11,Sat,224
MD,1969,1,11,1969-01-11,Sat,142
ME,1969,1,11,1969-01-11,Sat,58
MI,1969,1,11,1969-01-11,Sat,380
MN,1969,1,11,1969-01-11,Sat,154
MO,1969,1,11,1969-01-11,Sat,214
MS,1969,1,11,1969-01-11,Sat,100
MT,1969,1,11,1969-01-11,Sat,18
NC,1969,1,11,1969-01-11,Sat,262
ND,1969,1,11,1969-01-11,Sat,42
NE,1969,1,11,1969-01-11,Sat,64
NH,1969,1,11,1969-01-11,Sat,34
NJ,1969,1,11,1969-01-11,Sat,308
NM,1969,1,11,1969-01-11,Sat,52
NV,1969,1,11,1969-01-11,Sat,22
NY,1969,1,11,1969-01-11,Sat,752
OH,1969,1,11,1969-01-11,Sat,482
OK,1969,1,11,1969-01-11,Sat,124
OR,1969,1,11,1969-01-11,Sat,76
PA,1969,1,11,1969-01-11,Sat,556
RI,1969,1,11,1969-01-11,Sat,34
SC,1969,1,11,1969-01-11,Sat,138
SD,1969,1,11,1969-01-11,Sat,34
TN,1969,1,11,1969-01-11,Sat,208
TX,1969,1,11,1969-01-11,Sat,550
UT,1969,1,11,1969-01-11,Sat,52
VA,1969,1,11,1969-01-11,Sat,206
VT,1969,1,11,1969-01-11,Sat,30
WA,1969,1,11,1969-01-11,Sat,148
WI,1969,1,11,1969-01-11,Sat,164
WV,1969,1,11,1969-01-11,Sat,72
WY,1969,1,11,1969-01-11,Sat,10
AK,1969,1,12,1969-01-12,Sun,12
AL,1969,1,12,1969-01-12,Sun,156
AR,1969,1,12,1969-01-12,Sun,90
AZ,1969,1,12,1969-01-12,Sun,90
CA,1969,1,12,1969-01-12,Sun,774
CO,1969,1,12,1969-01-12,Sun,102
CT,1969,1,12,1969-01-12,Sun,108
DC,1969,1,12,1969-01-12,Sun,74
DE,1969,1,12,1969-01-12,Sun,32
FL,1969,1,12,1969-01-12,Sun,248
GA,1969,1,12,1969-01-12,Sun,222
HI,1969,1,12,1969-01-12,Sun,36
IA,1969,1,12,1969-01-12,Sun,112
ID,1969,1,12,1969-01-12,Sun,30
IL,1969,1,12,1969-01-12,Sun,466
IN,1969,1,12,1969-01-12,Sun,218
KS,1969,1,12,1969-01-12,Sun,82
KY,1969,1,12,1969-01-12,Sun,142
LA,1969,1,12,1969-01-12,Sun,170
MA,1969,1,12,1969-01-12,Sun,192
MD,1969,1,12,1969-01-12,Sun,150
ME,1969,1,12,1969-01-12,Sun,44
MI,1969,1,12,1969-01-12,Sun,352
MN,1969,1,12,1969-01-12,Sun,114
MO,1969,1,12,1969-01-12,Sun,230
MS,1969,1,12,1969-01-12,Sun,132
MT,1969,1,12,1969-01-12,Sun,24
NC,1969,1,12,1969-01-12,Sun,228
ND,1969,1,12,1969-01-12,Sun,28
NE,1969,1,12,1969-01-12,Sun,58
NH,1969,1,12,1969-01-12,Sun,36
NJ,1969,1,12,1969-01-12,Sun,268
NM,1969,1,12,1969-01-12,Sun,56
NV,1969,1,12,1969-01-12,Sun,22
NY,1969,1,12,1969-01-12,Sun,780
OH,1969,1,12,1969-01-12,Sun,482
OK,1969,1,12,1969-01-12,Sun,112
OR,1969,1,12,1969-01-12,Sun,62
PA,1969,1,12,1969-01-12,Sun,494
RI,1969,1,12,1969-01-12,Sun,36
